dateTime,Device,Metric,Value,RAG,
27/01/2020 17:00,A428,PM2.5,5.735,,
27/01/2020 17:00,A4600,PM2.5,0.135,,
27/01/2020 17:00,B4098,PM2.5,2.02,,
27/01/2020 17:00,B4106,PM2.5,9.099999,,
27/01/2020 17:30,A4114,PM2.5,6.95,,
27/01/2020 17:30,A428,PM2.5,8.849999,,
27/01/2020 17:30,A4600,PM2.5,0.13,,
27/01/2020 17:30,B4098,PM2.5,0.88,,
27/01/2020 17:30,B4106,PM2.5,5.055,,
27/01/2020 18:00,A4114,PM2.5,12.375,,
27/01/2020 18:00,A428,PM2.5,6.27,,
27/01/2020 18:00,A4600,PM2.5,0.06,,
27/01/2020 18:00,B4098,PM2.5,4.75,,
27/01/2020 18:00,B4106,PM2.5,6.92,,
27/01/2020 18:30,A4114,PM2.5,10.11,,
27/01/2020 18:30,A428,PM2.5,4.75,,
27/01/2020 18:30,A4600,PM2.5,0.075,,
27/01/2020 18:30,B4098,PM2.5,2.11,,
27/01/2020 18:30,B4106,PM2.5,4.75,,
27/01/2020 19:00,A4114,PM2.5,9.849999,,
27/01/2020 19:00,A428,PM2.5,19.67,,
27/01/2020 19:00,A4600,PM2.5,0.09,,
27/01/2020 19:00,B4098,PM2.5,10.639999,,
27/01/2020 19:00,B4106,PM2.5,4.25,,
27/01/2020 19:30,A4114,PM2.5,8.4,,
27/01/2020 19:30,A428,PM2.5,5.78,,
27/01/2020 19:30,A4600,PM2.5,0.07,,
27/01/2020 19:30,B4098,PM2.5,1.845,,
27/01/2020 19:30,B4106,PM2.5,6.21,,
27/01/2020 20:00,A4114,PM2.5,6.72,,
27/01/2020 20:00,A428,PM2.5,5.94,,
27/01/2020 20:00,A4600,PM2.5,0.12,,
27/01/2020 20:00,B4098,PM2.5,2.19,,
27/01/2020 20:00,B4106,PM2.5,5.13,,
27/01/2020 20:30,A4114,PM2.5,14.599999,,
27/01/2020 20:30,A428,PM2.5,3.95,,
27/01/2020 20:30,A4600,PM2.5,0.133333,,
27/01/2020 20:30,B4098,PM2.5,2.78,,
27/01/2020 20:30,B4106,PM2.5,5.8,,
27/01/2020 21:00,A4114,PM2.5,13.299999,,
27/01/2020 21:00,A428,PM2.5,5.69,,
27/01/2020 21:00,A4600,PM2.5,0.25,,
27/01/2020 21:00,B4098,PM2.5,2.39,,
27/01/2020 21:00,B4106,PM2.5,6.845,,
27/01/2020 21:30,A4114,PM2.5,11.86,,
27/01/2020 21:30,A428,PM2.5,7.35,,
27/01/2020 21:30,A4600,PM2.5,0.7,,
27/01/2020 21:30,B4098,PM2.5,3.41,,
27/01/2020 21:30,B4106,PM2.5,8,,
27/01/2020 22:00,A4114,PM2.5,17.5,,
27/01/2020 22:00,A428,PM2.5,6.245,,
27/01/2020 22:00,A4600,PM2.5,0.37,,
27/01/2020 22:00,B4098,PM2.5,3.53,,
27/01/2020 22:00,B4106,PM2.5,7.7,,
27/01/2020 22:30,A4114,PM2.5,20.369999,,
27/01/2020 22:30,A428,PM2.5,4.98,,
27/01/2020 22:30,A4600,PM2.5,0.23,,
27/01/2020 22:30,B4098,PM2.5,1.28,,
27/01/2020 22:30,B4106,PM2.5,8.285,,
27/01/2020 23:00,A4114,PM2.5,9.389999,,
27/01/2020 23:00,A428,PM2.5,19.639999,,
27/01/2020 23:00,A4600,PM2.5,0.07,,
27/01/2020 23:00,B4098,PM2.5,1.5,,
27/01/2020 23:00,B4106,PM2.5,3.36,,
27/01/2020 23:30,A4114,PM2.5,0.76,,
27/01/2020 23:30,A428,PM2.5,4.37,,
27/01/2020 23:30,A4600,PM2.5,0.02,,
27/01/2020 23:30,B4098,PM2.5,0.08,,
27/01/2020 23:30,B4106,PM2.5,0.5,,
28/01/2020 00:00,A4114,PM2.5,0.6,,
28/01/2020 00:00,A428,PM2.5,13.495,,
28/01/2020 00:00,A4600,PM2.5,0.01,,
28/01/2020 00:00,B4098,PM2.5,0.06,,
28/01/2020 00:00,B4106,PM2.5,1.81,,
28/01/2020 00:30,A4114,PM2.5,0.53,,
28/01/2020 00:30,A428,PM2.5,18.869999,,
28/01/2020 00:30,A4600,PM2.5,0,,
28/01/2020 00:30,B4098,PM2.5,0.37,,
28/01/2020 00:30,B4106,PM2.5,1.51,,
28/01/2020 01:00,A4114,PM2.5,0.48,,
28/01/2020 01:00,A428,PM2.5,17.08,,
28/01/2020 01:00,A4600,PM2.5,0,,
28/01/2020 01:00,B4098,PM2.5,0.17,,
28/01/2020 01:00,B4106,PM2.5,1.46,,
28/01/2020 01:30,A4114,PM2.5,4.92,,
28/01/2020 01:30,A428,PM2.5,2.755,,
28/01/2020 01:30,A4600,PM2.5,0.085,,
28/01/2020 01:30,B4098,PM2.5,1.4,,
28/01/2020 01:30,B4106,PM2.5,0.93,,
28/01/2020 02:00,A4114,PM2.5,3.43,,
28/01/2020 02:00,A428,PM2.5,15,,
28/01/2020 02:00,A4600,PM2.5,0.02,,
28/01/2020 02:00,B4098,PM2.5,0.14,,
28/01/2020 02:00,B4106,PM2.5,0.605,,
28/01/2020 02:30,A4114,PM2.5,1.065,,
28/01/2020 02:30,A428,PM2.5,11.45,,
28/01/2020 02:30,A4600,PM2.5,0.01,,
28/01/2020 02:30,B4098,PM2.5,0.2,,
