LSOA,IMD rank,IMD decile,IDACI rank,IDACI decile,IDAOPI rank,IDAOPI decile
E01014950,"19,933",7,"16,171",5,"22,019",7
E01014951,"8,655",3,"9,245",3,"17,049",6
E01014952,"15,865",5,"12,386",4,"24,934",8
E01014953,"24,277",8,"26,386",9,"27,326",9
E01014954,"23,288",8,"21,119",7,"19,073",6
E01014955,"26,933",9,"12,171",4,"26,649",9
E01014956,"24,217",8,"24,785",8,"24,884",8
E01014957,"24,641",8,"25,335",8,"27,796",9
E01014958,"11,501",4,"4,984",2,"15,670",5
E01014959,"21,825",7,"15,162",5,"19,799",7
E01014960,"17,226",6,"14,443",5,"15,194",5
E01014961,"12,233",4,"14,038",5,"8,867",3
E01014962,"20,787",7,"30,937",10,"30,430",10
E01014963,"29,820",10,"28,153",9,"29,642",10
E01014964,"31,079",10,"32,116",10,"29,335",9
E01014965,"30,290",10,"31,577",10,"30,512",10
E01014966,"31,632",10,"19,461",6,"26,878",9
E01014967,"31,982",10,"30,358",10,"30,733",10
E01014968,"10,870",4,"9,044",3,"7,529",3
E01014969,"32,005",10,"27,059",9,"30,964",10
E01014972,"24,052",8,"29,084",9,"19,001",6
E01014973,"13,795",5,"16,286",5,"11,214",4
E01014974,"23,377",8,"21,348",7,"19,884",7
E01014975,"20,744",7,"17,839",6,"25,730",8
E01014976,"8,657",3,"6,665",3,"12,136",4
E01014977,"4,858",2,"3,495",2,"6,462",2
E01014978,"28,535",9,"26,265",8,"25,245",8
E01014979,"32,210",10,"23,964",8,"27,536",9
E01014980,"32,087",10,"28,096",9,"31,881",10
E01014981,"26,260",8,"19,264",6,"25,805",8
E01014982,"23,757",8,"25,971",8,"18,882",6
E01014983,"12,285",4,"10,195",4,"13,780",5
E01014984,"19,062",6,"17,749",6,"19,646",6
E01014985,"31,546",10,"32,389",10,"31,360",10
E01014986,"18,181",6,"15,440",5,"22,930",7
